2019-01-11 19:30:44 ===== Starting: ShallowRedExperiment =====
2019-01-11 19:36:21 Run
2019-01-11 20:38:03 id = 3 (machine1); Seed = 78; Starting new sample
2019-01-11 20:39:16 id = 2 (machine1); Seed = 71; Done (0)
2019-01-11 20:39:16 id = 2 (machine1); Seed = 79; Starting new sample
2019-01-11 20:40:00 id = 1 (machine1); Seed = 65; Done (0)
2019-01-11 20:40:00 id = 1 (machine1); Seed = 80; Starting new sample
2019-01-11 20:40:20 id = 3 (machine1); Seed = 78; Done (0)
2019-01-11 20:40:20 id = 3 (machine1); Seed = 81; Starting new sample
2019-01-11 20:41:46 id = 4 (machine1); Seed = 74; Done (0)
2019-01-11 20:41:46 id = 4 (machine1); Seed = 82; Starting new sample
2019-01-11 20:42:27 id = 0 (machine1); Seed = 76; Done (0)
2019-01-11 20:42:27 id = 0 (machine1); Seed = 83; Starting new sample
2019-01-11 20:42:29 id = 5 (machine1); Seed = 77; Done (0)
2019-01-11 20:42:29 id = 5 (machine1); Seed = 84; Starting new sample
2019-01-11 20:42:50 id = 3 (machine1); Seed = 81; Done (0)
2019-01-11 20:42:50 id = 3 (machine1); Seed = 85; Starting new sample
2019-01-11 20:44:10 id = 4 (machine1); Seed = 82; Done (1)
2019-01-11 20:44:10 id = 4 (machine1); Seed = 86; Starting new sample
2019-01-11 20:44:58 id = 0 (machine1); Seed = 83; Done (0)
2019-01-11 20:44:58 id = 0 (machine1); Seed = 87; Starting new sample
2019-01-11 20:45:34 id = 3 (machine1); Seed = 85; Done (0)
2019-01-11 20:45:34 id = 3 (machine1); Seed = 88; Starting new sample
2019-01-11 20:45:58 id = 1 (machine1); Seed = 80; Done (0)
2019-01-11 20:45:58 id = 1 (machine1); Seed = 89; Starting new sample
2019-01-11 20:46:42 id = 4 (machine1); Seed = 86; Done (0)
2019-01-11 20:46:42 id = 4 (machine1); Seed = 90; Starting new sample
2019-01-11 20:48:02 id = 5 (machine1); Seed = 84; Done (0)
2019-01-11 20:48:02 id = 5 (machine1); Seed = 91; Starting new sample
2019-01-11 20:48:18 id = 0 (machine1); Seed = 87; Done (0)
2019-01-11 20:48:18 id = 0 (machine1); Seed = 92; Starting new sample
2019-01-11 20:50:38 id = 0 (machine1); Seed = 92; Done (0)
2019-01-11 20:50:38 id = 0 (machine1); Seed = 93; Starting new sample
2019-01-11 20:51:30 id = 1 (machine1); Seed = 89; Done (0)
2019-01-11 20:51:30 id = 1 (machine1); Seed = 94; Starting new sample
2019-01-11 20:52:13 id = 3 (machine1); Seed = 88; Done (1)
2019-01-11 20:52:13 id = 3 (machine1); Seed = 95; Starting new sample
2019-01-11 20:53:04 id = 0 (machine1); Seed = 93; Done (1)
2019-01-11 20:53:04 id = 0 (machine1); Seed = 96; Starting new sample
2019-01-11 20:56:13 id = 4 (machine1); Seed = 90; Done (0)
